Lap,Driver,Decision,LapTime,CumulativeTime,TyreAge,Position,EngineerMessage
53,VER,push,91.86771417555964,4776.847366152949,10,4,"Push now. Gap 0.77s ahead, opportunity to gain position 1."
53,LEC,conserve,89.35715513029031,4784.089562833169,3,4,"Manage tyres. Running P5, maintaining race pace."
53,PER,conserve,91.80689379854391,4780.317935198704,10,3,"Manage tyres. Running P4, maintaining race pace."
53,SAI,conserve,91.06673139816678,4789.8229841552475,5,5,"Manage tyres. Running P1, maintaining race pace."
54,NOR,push,90.38724600119588,4875.025584531231,8,5,"Push now. Gap 0.06s ahead, opportunity to gain position 4."
54,VER,conserve,91.38002522373438,4868.227391376683,11,4,"Manage tyres. Running P1, maintaining race pace."
54,LEC,push,89.87692026717316,4873.966483100342,4,4,"Push now. Gap 0.59s ahead, opportunity to gain position 1."
54,PER,push,91.08642224974663,4871.40435744845,11,3,"Push now. Gap 0.34s ahead, opportunity to gain position 2."
54,SAI,push,90.71838311079829,4880.541367266046,6,5,"Push now. Gap 0.53s ahead, opportunity to gain position 5."
55,NOR,conserve,92.16580181484203,4967.191386346073,9,5,"Manage tyres. Running P2, maintaining race pace."
55,VER,conserve,92.44410341055898,4960.671494787242,12,4,"Manage tyres. Running P2, maintaining race pace."
55,LEC,conserve,91.50930174938863,4965.47578484973,5,4,"Manage tyres. Running P4, maintaining race pace."
55,PER,conserve,92.32804102523572,4963.732398473686,12,3,"Manage tyres. Running P5, maintaining race pace."
55,SAI,conserve,90.62153025177955,4971.1628975178255,7,5,"Manage tyres. Running P5, maintaining race pace."
56,NOR,conserve,90.68713877280153,5057.878525118875,10,5,"Manage tyres. Running P4, maintaining race pace."
56,VER,push,92.65782007506759,5053.32931486231,13,4,"Push now. Gap 0.54s ahead, opportunity to gain position 4."
56,LEC,push,91.04117149294014,5056.516956342671,6,4,"Push now. Gap 0.29s ahead, opportunity to gain position 4."
56,PER,push,91.92196242559127,5055.654360899277,13,3,"Push now. Gap 0.06s ahead, opportunity to gain position 4."
56,SAI,conserve,90.68935117273436,5061.8522486905595,8,5,"Manage tyres. Running P3, maintaining race pace."
57,NOR,conserve,91.68909881187,5149.567623930745,11,5,"Manage tyres. Running P5, maintaining race pace."
57,VER,push,91.25178038643293,5144.581095248743,14,4,"Push now. Gap 0.80s ahead, opportunity to gain position 1."
57,LEC,conserve,90.65686339340553,5147.173819736076,7,4,"Manage tyres. Running P1, maintaining race pace."
57,PER,conserve,92.38017506213227,5148.034535961409,14,4,"Manage tyres. Running P2, maintaining race pace."
57,SAI,conserve,91.80181972190796,5153.6540684124675,9,5,"Manage tyres. Running P3, maintaining race pace."
